,day,field,timestamp,value
0,2024-07-06,hrv,2024-07-05 23:38:38-07:00,67.0
1,2024-07-06,hrv,2024-07-05 23:43:38-07:00,83.0
2,2024-07-06,hrv,2024-07-05 23:48:38-07:00,57.0
3,2024-07-06,hrv,2024-07-05 23:53:38-07:00,71.0
4,2024-07-06,hrv,2024-07-05 23:58:38-07:00,54.0
5,2024-07-06,hrv,2024-07-06 00:03:38-07:00,42.0
6,2024-07-06,hrv,2024-07-06 00:08:38-07:00,42.0
7,2024-07-06,hrv,2024-07-06 00:13:38-07:00,49.0
8,2024-07-06,hrv,2024-07-06 00:18:38-07:00,53.0
9,2024-07-06,hrv,2024-07-06 00:23:38-07:00,61.0
10,2024-07-06,hrv,2024-07-06 00:28:38-07:00,50.0
11,2024-07-06,hrv,2024-07-06 00:33:38-07:00,52.0
12,2024-07-06,hrv,2024-07-06 00:38:38-07:00,39.0
13,2024-07-06,hrv,2024-07-06 00:43:38-07:00,41.0
14,2024-07-06,hrv,2024-07-06 00:48:38-07:00,44.0
15,2024-07-06,hrv,2024-07-06 00:53:38-07:00,43.0
16,2024-07-06,hrv,2024-07-06 00:58:38-07:00,48.0
17,2024-07-06,hrv,2024-07-06 01:03:38-07:00,52.0
18,2024-07-06,hrv,2024-07-06 01:08:38-07:00,46.0
19,2024-07-06,hrv,2024-07-06 01:13:38-07:00,47.0
20,2024-07-06,hrv,2024-07-06 01:18:38-07:00,43.0
21,2024-07-06,hrv,2024-07-06 01:23:38-07:00,37.0
22,2024-07-06,hrv,2024-07-06 01:28:38-07:00,38.0
23,2024-07-06,hrv,2024-07-06 01:33:38-07:00,44.0
24,2024-07-06,hrv,2024-07-06 01:38:38-07:00,42.0
25,2024-07-06,hrv,2024-07-06 01:43:38-07:00,50.0
26,2024-07-06,hrv,2024-07-06 01:48:38-07:00,74.0
27,2024-07-06,hrv,2024-07-06 01:53:38-07:00,74.0
28,2024-07-06,hrv,2024-07-06 01:58:38-07:00,57.0
29,2024-07-06,hrv,2024-07-06 02:03:38-07:00,65.0
30,2024-07-06,hrv,2024-07-06 02:08:38-07:00,62.0
31,2024-07-06,hrv,2024-07-06 02:13:38-07:00,60.0
32,2024-07-06,hrv,2024-07-06 02:18:38-07:00,68.0
33,2024-07-06,hrv,2024-07-06 02:23:38-07:00,48.0
34,2024-07-06,hrv,2024-07-06 02:28:38-07:00,54.0
35,2024-07-06,hrv,2024-07-06 02:33:38-07:00,57.0
36,2024-07-06,hrv,2024-07-06 02:38:38-07:00,65.0
37,2024-07-06,hrv,2024-07-06 02:43:38-07:00,62.0
38,2024-07-06,hrv,2024-07-06 02:48:38-07:00,69.0
39,2024-07-06,hrv,2024-07-06 02:53:38-07:00,62.0
40,2024-07-06,hrv,2024-07-06 02:58:38-07:00,56.0
41,2024-07-06,hrv,2024-07-06 03:03:38-07:00,71.0
42,2024-07-06,hrv,2024-07-06 03:08:38-07:00,59.0
43,2024-07-06,hrv,2024-07-06 03:13:38-07:00,72.0
44,2024-07-06,hrv,2024-07-06 03:18:38-07:00,74.0
45,2024-07-06,hrv,2024-07-06 03:23:38-07:00,108.0
46,2024-07-06,hrv,2024-07-06 03:28:38-07:00,76.0
47,2024-07-06,hrv,2024-07-06 03:33:38-07:00,81.0
48,2024-07-06,hrv,2024-07-06 03:38:38-07:00,65.0
49,2024-07-06,hrv,2024-07-06 03:43:38-07:00,68.0
50,2024-07-06,hrv,2024-07-06 03:48:38-07:00,70.0
51,2024-07-06,hrv,2024-07-06 03:53:38-07:00,61.0
52,2024-07-06,hrv,2024-07-06 03:58:38-07:00,62.0
53,2024-07-06,hrv,2024-07-06 04:03:38-07:00,51.0
54,2024-07-06,hrv,2024-07-06 04:08:38-07:00,42.0
55,2024-07-06,hrv,2024-07-06 04:13:38-07:00,50.0
56,2024-07-06,hrv,2024-07-06 04:18:38-07:00,61.0
57,2024-07-06,hrv,2024-07-06 04:23:38-07:00,52.0
58,2024-07-06,hrv,2024-07-06 04:28:38-07:00,46.0
59,2024-07-06,hrv,2024-07-06 04:33:38-07:00,51.0
60,2024-07-06,hrv,2024-07-06 04:38:38-07:00,42.0
61,2024-07-06,hrv,2024-07-06 04:43:38-07:00,47.0
62,2024-07-06,hrv,2024-07-06 04:48:38-07:00,45.0
63,2024-07-06,hrv,2024-07-06 04:53:38-07:00,54.0
64,2024-07-06,hrv,2024-07-06 04:58:38-07:00,44.0
65,2024-07-06,hrv,2024-07-06 05:03:38-07:00,41.0
66,2024-07-06,hrv,2024-07-06 05:08:38-07:00,38.0
67,2024-07-06,hrv,2024-07-06 05:13:38-07:00,52.0
68,2024-07-06,hrv,2024-07-06 05:18:38-07:00,49.0
69,2024-07-06,hrv,2024-07-06 05:23:38-07:00,56.0
70,2024-07-06,hrv,2024-07-06 05:28:38-07:00,53.0
71,2024-07-06,hrv,2024-07-06 05:33:38-07:00,65.0
72,2024-07-06,hrv,2024-07-06 05:38:38-07:00,78.0
73,2024-07-06,hrv,2024-07-06 05:43:38-07:00,77.0
74,2024-07-06,hrv,2024-07-06 05:48:38-07:00,58.0
75,2024-07-06,hrv,2024-07-06 05:53:38-07:00,68.0
76,2024-07-06,hrv,2024-07-06 05:58:38-07:00,59.0
77,2024-07-06,hrv,2024-07-06 06:03:38-07:00,61.0
78,2024-07-06,hrv,2024-07-06 06:08:38-07:00,50.0
79,2024-07-06,hrv,2024-07-06 06:13:38-07:00,43.0
80,2024-07-06,hrv,2024-07-06 06:18:38-07:00,71.0
81,2024-07-06,hrv,2024-07-06 06:23:38-07:00,72.0
82,2024-07-06,hrv,2024-07-06 06:28:38-07:00,55.0
83,2024-07-06,hrv,2024-07-06 06:33:38-07:00,59.0
84,2024-07-06,hrv,2024-07-06 06:38:38-07:00,59.0
85,2024-07-06,hrv,2024-07-06 06:43:38-07:00,47.0
86,2024-07-06,hrv,2024-07-06 06:48:38-07:00,55.0
87,2024-07-06,hrv,2024-07-06 06:58:38-07:00,62.0
88,2024-07-06,hrv,2024-07-06 07:03:38-07:00,68.0
89,2024-07-06,hrv,2024-07-06 07:08:38-07:00,72.0
90,2024-07-06,hrv,2024-07-06 07:13:38-07:00,76.0
91,2024-07-06,hrv,2024-07-06 07:18:38-07:00,84.0
92,2024-07-06,hrv,2024-07-06 07:23:38-07:00,95.0
93,2024-07-06,hrv,2024-07-06 07:28:38-07:00,60.0
94,2024-07-06,hrv,2024-07-06 07:33:38-07:00,70.0
95,2024-07-06,hrv,2024-07-06 07:38:38-07:00,81.0
96,2024-07-06,hrv,2024-07-06 07:43:38-07:00,68.0
97,2024-07-06,hrv,2024-07-06 07:48:38-07:00,71.0
98,2024-07-06,hrv,2024-07-06 07:53:38-07:00,72.0
99,2024-07-06,hrv,2024-07-06 07:58:38-07:00,69.0
100,2024-07-06,hrv,2024-07-06 08:03:38-07:00,71.0
101,2024-07-06,hrv,2024-07-06 08:08:38-07:00,92.0
102,2024-07-06,hrv,2024-07-06 08:13:38-07:00,101.0
103,2024-07-06,hrv,2024-07-06 08:18:38-07:00,64.0
104,2024-07-06,hrv,2024-07-06 08:23:38-07:00,72.0
105,2024-07-06,hrv,2024-07-06 08:28:38-07:00,83.0
106,2024-07-06,hrv,2024-07-06 08:33:38-07:00,39.0
107,2024-07-06,heart_rate,2024-07-05 23:38:38-07:00,48.0
108,2024-07-06,heart_rate,2024-07-05 23:43:38-07:00,48.0
109,2024-07-06,heart_rate,2024-07-05 23:48:38-07:00,48.0
110,2024-07-06,heart_rate,2024-07-05 23:53:38-07:00,49.0
111,2024-07-06,heart_rate,2024-07-05 23:58:38-07:00,52.0
112,2024-07-06,heart_rate,2024-07-06 00:03:38-07:00,52.0
113,2024-07-06,heart_rate,2024-07-06 00:08:38-07:00,52.0
114,2024-07-06,heart_rate,2024-07-06 00:13:38-07:00,52.0
115,2024-07-06,heart_rate,2024-07-06 00:18:38-07:00,54.0
116,2024-07-06,heart_rate,2024-07-06 00:23:38-07:00,54.0
117,2024-07-06,heart_rate,2024-07-06 00:28:38-07:00,53.0
118,2024-07-06,heart_rate,2024-07-06 00:33:38-07:00,53.0
119,2024-07-06,heart_rate,2024-07-06 00:38:38-07:00,53.0
120,2024-07-06,heart_rate,2024-07-06 00:43:38-07:00,53.0
121,2024-07-06,heart_rate,2024-07-06 00:48:38-07:00,55.0
122,2024-07-06,heart_rate,2024-07-06 00:53:38-07:00,54.0
123,2024-07-06,heart_rate,2024-07-06 00:58:38-07:00,55.0
124,2024-07-06,heart_rate,2024-07-06 01:03:38-07:00,56.0
125,2024-07-06,heart_rate,2024-07-06 01:08:38-07:00,53.0
126,2024-07-06,heart_rate,2024-07-06 01:13:38-07:00,53.0
127,2024-07-06,heart_rate,2024-07-06 01:18:38-07:00,52.0
128,2024-07-06,heart_rate,2024-07-06 01:23:38-07:00,52.0
129,2024-07-06,heart_rate,2024-07-06 01:28:38-07:00,52.0
